Accuracy,Loss,Classification_Loss,Robustness_Loss,Concept_Loss,Step
0.10999999940395355,3.424748420715332,2.3007097244262695,6.691927433013916,1.123369574546814,1
0.6600000262260437,1.9491047859191895,1.1164602041244507,49.55238723754883,0.8276892900466919,101
0.10999999940395355,3.424748420715332,2.3007097244262695,6.691927433013916,1.123369574546814,1
0.6600000262260437,1.9491047859191895,1.1164602041244507,49.55238723754883,0.8276892900466919,101
0.8149999976158142,1.3133296966552734,0.514842689037323,66.9762954711914,0.7917894124984741,201
0.875,1.2077157497406006,0.46271198987960815,71.01879119873047,0.7379018664360046,271
0.8600000143051147,1.18221116065979,0.4486227035522461,72.64116668701172,0.7263243794441223,371
0.8700000047683716,1.1619000434875488,0.44484013319015503,79.02131652832031,0.7091577053070068,471
0.9150000214576721,0.9926900863647461,0.2948968708515167,81.17617797851562,0.6896755695343018,541
0.9100000262260437,1.0063328742980957,0.3014955222606659,82.04072570800781,0.6966333389282227,641
0.9150000214576721,1.0210576057434082,0.32934996485710144,84.8701400756836,0.6832206845283508,741
0.9300000071525574,0.8958481550216675,0.22191926836967468,85.63038635253906,0.6653658747673035,811
0.949999988079071,0.9118421077728271,0.22671478986740112,84.27854919433594,0.6766994595527649,911
0.9200000166893005,0.9338062405586243,0.2611985504627228,88.35041809082031,0.6637726426124573,1011
0.9449999928474426,0.842523455619812,0.18614141643047333,87.4905776977539,0.6476330161094666,1081
0.10999999940395355,3.4247493743896484,2.3007097244262695,6.700958251953125,1.123369574546814,1
0.10999999940395355,3.4247488975524902,2.3007099628448486,6.691927909851074,1.123369574546814,1
0.10999999940395355,3.4247488975524902,2.3007099628448486,6.691927909851074,1.123369574546814,1
0.10999999940395355,3.424748420715332,2.3007097244262695,6.691927433013916,1.123369574546814,1
0.6600000262260437,1.9491047859191895,1.1164602041244507,49.55238723754883,0.8276892900466919,101
